Genus,Family,group
Pinus,Pinaceae,Gymnosperms
Quercus,Fagaceae,Angiosperms
Picea,Pinaceae,Gymnosperms
Castanea,Fagaceae,Angiosperms
Larix,Pinaceae,Gymnosperms
Pseudotsuga,Pinaceae,Gymnosperms
Abies,Pinaceae,Gymnosperms
Taxodium,Cupressaceae,Gymnosperms
Tsuga,Pinaceae,Gymnosperms
Cedrus,Pinaceae,Gymnosperms
Dacrydium,Podocarpaceae,Gymnosperms
Juniperus,Cupressaceae,Gymnosperms
Platanus,Platanaceae,Angiosperms
Chamaecyparis,Cupressaceae,Gymnosperms
Salix,Salicaceae,Angiosperms
Betula,Betulaceae,Angiosperms
Populus,Salicaceae,Angiosperms
Alnus,Betulaceae,Angiosperms
Agathis,Araucariaceae,Gymnosperms
Austrocedrus,Cupressaceae,Gymnosperms
Araucaria,Araucariaceae,Gymnosperms
Nothofagus,Nothofagaceae,Angiosperms
Adesmia,Leguminosae,Angiosperms
Fitzroya,Cupressaceae,Gymnosperms
Cedrela,Meliaceae,Angiosperms
Juglans,Juglandaceae,Angiosperms
Pilgerodendron,Cupressaceae,Gymnosperms
Phyllocladus,Podocarpaceae,Gymnosperms
Athrotaxis,Cupressaceae,Gymnosperms
Callitris,Cupressaceae,Gymnosperms
Lagarostrobus,Podocarpaceae,Gymnosperms
Toona,Meliaceae,Angiosperms
Thuja,Cupressaceae,Gymnosperms
Taxus,Taxaceae,Gymnosperms
Centrolobium,Leguminosae,Angiosperms
Aspidosperma,Apocynaceae,Angiosperms
Fraxinus,Oleaceae,Angiosperms
Calocedrus,Cupressaceae,Gymnosperms
Libocedrus,Cupressaceae,Gymnosperms
Acer,Sapindaceae,Angiosperms
Liriodendron,Magnoliaceae,Angiosperms
Pistacia,Anacardiaceae,Angiosperms
Fagus,Fagaceae,Angiosperms
Hedera,Araliaceae,Angiosperms
Cryptomeria,Cupressaceae,Gymnosperms
Cupressus,Cupressaceae,Gymnosperms
Carya,Juglandaceae,Angiosperms
Tectona,Lamiaceae,Angiosperms
Vitex,Lamiaceae,Angiosperms
Halocarpus,Podocarpaceae,Gymnosperms
Ulmus,Ulmaceae,Angiosperms
Dracophyllum,Ericaceae,Angiosperms
Widdringtonia,Cupressaceae,Gymnosperms
Fokienia,Cupressaceae,Gymnosperms
Goupia,Goupiaceae,Angiosperms
Carpinus,Betulaceae,Angiosperms
Canthium,Rubiaceae,Angiosperms
Pterocarpus,Leguminosae,Angiosperms
Prosopis,Fabaceae,Angiosperms
